,Additional_outlet_count,Cost_for_two,Delivery_Time,Home_Delivery,Delivery_cost,Rating,votes,Cuisine_count,Feature_count,Rest_type_count
444,4,1200,45,0,76,3.6,246,1,1,1
445,4,2500,45,0,76,4.6,437,1,2,1
446,4,1500,45,0,76,0.0,238,5,4,2
447,4,600,45,1,99,4.5,672,3,1,1
448,4,600,60,1,0,4.3,1064,3,1,1
449,3,700,30,1,99,3.8,650,2,1,1
450,4,3300,45,0,76,4.3,955,1,2,1
451,4,900,60,1,99,0.0,238,1,2,1
452,4,350,45,1,0,0.0,238,2,1,1
453,4,1300,50,1,99,4.2,1398,5,2,1
454,4,1450,45,0,76,3.9,1518,1,1,1
455,4,1200,45,1,99,4.5,1587,4,1,1
456,7,300,45,1,0,4.0,1734,3,2,2
457,4,2200,45,0,76,4.5,413,8,2,2
458,4,900,45,0,76,4.3,479,2,1,1
459,4,1500,60,1,99,4.1,362,5,1,2
460,4,800,45,1,99,4.1,1273,8,1,2
461,4,2500,45,0,76,4.5,903,2,2,1
462,1,1500,45,0,76,4.0,1818,3,1,2
463,2,800,45,0,76,4.1,1096,5,1,1
464,4,1400,45,1,99,4.2,1930,2,3,1
465,7,750,45,1,99,4.3,420,2,1,1
466,4,850,45,1,99,4.2,1532,2,1,1
467,4,1000,45,1,99,4.0,325,3,1,1
468,4,500,40,1,99,4.0,535,3,1,1
469,4,2000,60,1,99,3.9,1789,3,1,1
470,4,1500,45,1,0,4.8,256,5,1,1
471,5,600,45,1,99,4.5,1174,2,3,1
472,4,3000,45,0,76,4.2,1137,2,2,1
473,4,600,45,0,76,3.9,2160,4,1,1
474,3,600,45,1,99,4.1,1475,3,2,1
475,1,500,30,1,99,4.1,756,8,1,1
476,4,1000,30,1,99,4.0,1106,1,1,1
477,4,500,45,1,99,4.6,326,2,2,1
478,6,800,45,1,0,4.0,635,4,1,1
479,2,650,45,0,76,3.8,617,5,1,1
480,4,1800,45,0,76,4.2,1511,4,1,1
481,4,1200,40,1,480,4.1,1122,6,1,1
482,4,700,50,1,99,3.8,903,3,1,1
483,2,1200,50,1,480,4.2,495,2,2,1
484,9,300,30,1,0,4.0,323,2,1,1
485,4,3500,45,0,76,4.4,655,2,1,1
486,4,10000,45,0,76,4.5,552,2,1,1
487,4,900,45,0,76,4.2,147,1,1,1
488,4,250,45,0,76,4.2,1530,2,1,1
489,4,3000,45,0,76,4.3,344,2,1,1
490,4,2200,45,0,76,4.0,421,3,1,1
491,4,2000,45,0,76,3.9,89,1,1,2
492,4,1800,45,1,99,4.0,591,8,1,1
493,4,4500,45,0,76,4.1,919,5,1,1
494,1,600,90,1,150,4.0,617,2,1,2
495,1,700,45,0,76,4.1,296,3,1,1
496,4,1600,45,1,99,4.4,967,4,1,1
497,4,1300,45,1,99,4.0,699,1,1,1
498,4,2500,45,0,76,4.0,332,1,1,2
499,1,2000,45,0,76,4.1,798,5,1,2
500,4,850,45,1,99,4.4,2362,8,2,2
501,4,900,45,0,76,4.2,813,2,1,1
502,6,800,65,1,99,3.6,839,4,1,1
503,4,500,45,0,76,4.2,182,2,1,1
504,4,1200,45,1,99,3.9,1246,4,1,1
505,4,800,45,1,0,3.9,570,5,1,1
506,1,800,45,1,99,3.9,1404,3,1,1
507,4,2200,45,0,76,4.0,547,6,2,2
508,4,6500,45,0,76,4.4,280,1,1,1
